Usia;Jenis Kelamin;Pendidikan;1. Apakah Anda bermain game online?;2. Seberapa sering Anda bermain game online dalam sebulan terakhir?;3. Berapa lama waktu yang Anda habiskan setiap hari untuk bermain game online? ;4. Apa jenis game online yang paling sering Anda mainkan? (Contoh: MOBA, FPS, RPG, dll.);5. Apakah Anda merasa bermain game online mengganggu waktu belajar atau aktivitas Anda?;6. Bagaimana Anda menilai tingkat rasa stres Anda sebulan terakhir? ;7.  Seberapa sering Anda merasa cemas, depresi, tertekan, atau memiliki masalah kesehatan mental lainnya dalam sebulan terakhir?;8. Apa yang menjadi penyebab utama stres Anda sebulan terakhir?;9. Apakah bermain game online menjadi pilihan pertama Anda ketika Anda merasa stres? atau apakah Anda memiliki metode lain yang Anda coba terlebih dahulu?;10. Jika YA, berikan alasan mu. Jika TIDAK, aktivitas apa yang menjadi pilihan pertamamu ketika merasa stres?;11. Apakah Anda merasa bahwa bermain game online telah membantu Anda mengalihkan perhatian dari sumber stres yang sedang Anda alami?;12. Apakah Anda pernah mengalami situasi di mana bermain game untuk menghilangkan stres malah menambah stres atau masalah lain dalam hidup Anda?;13. Bagaimana pendapat Anda tentang sejauh mana bermain game sebagai cara untuk menghilangkan stres merupakan alternatif yang sehat dan efektif? 
25;Laki-laki;Umum / Sudah bekerja;Ya;Setiap hari;1-2 jam;MOBA (Mobile Legends, DOTA, League of Legends);Netral;Normal;Normal;Kangen ibu;Ya;Karena bermain game menyenangkan ;Sangat membantu;Jarang;Setuju
23;Laki-laki;Umum / Sudah bekerja;Ya;Setiap hari;1-2 jam;MOBA (Mobile Legends, DOTA, League of Legends);Tidak;Rendah;Normal;Tidak ada;Tidak;Dengar music;Membantu;Sering;Netral
20;Perempuan;Mahasiswa;Ya;Setiap hari;30 menit - 1 jam;MOBA (Mobile Legends, DOTA, League of Legends);Netral;Tinggi;Normal;tugas;Ya;refreshing;Membantu;Sering;Setuju
19;Laki-laki;Mahasiswa;Ya;Jarang;30 menit - 1 jam;Arcade (Subway Surf, Temple Run, Pou);Tidak;Tinggi;Normal;tugas :);Tidak;scroll media sosial;Membantu;Sering;Tidak Setuju
20;Perempuan;Mahasiswa;Ya;Jarang;30 menit - 1 jam;Arcade (Subway Surf, Temple Run, Pou);Ya;Tinggi;Sering;Kuliah;Tidak;Nonton drama;Membantu;Tidak pernah;Tidak Setuju
20;Perempuan;Mahasiswa;Ya;Jarang;Kurang dari 30 menit;Arcade (Subway Surf, Temple Run, Pou);Netral;Tinggi;Normal;Tugas kuliah;Tidak;Bermain sosial media;Membantu;Sering;Netral
21;Perempuan;Mahasiswa;Ya;Jarang;30 menit - 1 jam;Arcade (Subway Surf, Temple Run, Pou);Netral;Sangat Tinggi;Sangat sering;Tugas dan tekanan;Tidak;Menggambar / nonton anime;Netral;Jarang;Netral
21;Perempuan;Mahasiswa;Ya;Setiap hari;Lebih dari 2 jam;RPG (Genshin Impact, Call of Duty, Toram);Ya;Normal;Sering;insecure dengan teman yg terus maju;Ya;refreshing dan healing di game;Membantu;Sering;Setuju
20;Laki-laki;Mahasiswa;Ya;Beberapa kali seminggu;Lebih dari 2 jam;RPG (Genshin Impact, Call of Duty, Toram);Ya;Sangat Tinggi;Sangat sering;Panitia Festival;Tidak;aktivitas pertama saya adalah ngobrol bersama teman;Membantu;Normal;Setuju
20;Laki-laki;Mahasiswa;Ya;Beberapa kali seminggu;Lebih dari 2 jam;FPS (Valorant, CSGO, Point Blank);Tidak;Rendah;Tidak pernah;Tidak ada;Tidak;Riding;Membantu;Tidak pernah;Sangat setuju
